time(sec), throughput(req/sec), avg_lat(ms), min_lat(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms), 90th_lat(ms), 95th_lat(ms), 99th_lat(ms), max_lat(ms), tp (req/s) scaled
0,4.8,4891.164,1003.753,1735.423,4877.069,8205.295,9198.92,9639.167,13104.186,13104.186,0
5,3.8,5246.709,1543.37,3256.631,4793.008,8301.705,9389.183,9413.746,9413.746,9413.746,0
10,3,6971.759,1394.009,5001.106,5976.672,10587.689,11533.193,16828.759,16828.759,16828.759,0
15,3.2,5402.193,1610.109,4475.984,4742.171,7598.877,7940.437,8142.618,8142.618,8142.618,0
20,4.4,4131.642,1003.323,1852.216,4383.713,5053.04,6933.787,7068.018,7109.847,7109.847,0
25,4.4,5440.923,1000.226,2010.688,5207.272,8158.494,9057.059,10552.837,15021.974,15021.974,0
30,3,5337.195,1003.663,1600.918,5277.111,8503.613,9278.746,13302.942,13302.942,13302.942,0
35,3.8,4637.912,1180.293,2837.098,4942.165,5443.521,7955.751,9208.39,9208.39,9208.39,0
40,3.2,4944.011,1327.975,3882.79,4760.267,7966.882,8062.846,9481.265,9481.265,9481.265,0
45,5.2,5416.09,1098.282,3431.06,5218.365,8094.351,9253.083,9603.42,12912.101,12912.101,0
50,3.2,4234.666,1094.195,1742.819,4867.832,5828.213,7640.609,7673.639,7673.639,7673.639,0
55,4.4,5002.427,1003.673,4250.887,4585.293,5297.367,9882.508,11268.656,11645.422,11645.422,0
60,3.2,6491.036,1501.414,5512.404,5981.069,9029.608,9198.161,10784.986,10784.986,10784.986,0
65,3.6,4993.909,1090.918,1726.767,5094.944,6966.083,8712.944,14830.438,14830.438,14830.438,0
70,3.6,5647.11,1004.031,1932.754,5629.089,8186.137,9445.763,13105.336,13105.336,13105.336,0
75,4.2,5519.209,1023.185,1969.349,6473.856,7192.592,9386.363,9403.624,13772.556,13772.556,0
80,2.8,5804.993,1660.485,5485.569,6153.303,6664.563,9419.838,9779.227,9779.227,9779.227,0
85,4,5252.58,1033.624,2904.863,4917.043,6746.016,12643.028,12919.541,12919.541,12919.541,0
90,4.2,5242.504,999.011,1584.409,4610.561,8252.178,9290.187,11995.324,14009.55,14009.55,0
95,4.4,4759.498,1004.431,4008.404,4399.887,5203.138,7575.384,8143.53,9538.723,9538.723,0
100,3.6,5063.953,1029.499,3180.609,5636.017,6154.597,9678.653,9695.849,9695.849,9695.849,0
105,3,6186.065,1005.445,1802.189,5301.584,10154.451,11225.05,12160.622,12160.622,12160.622,0
110,2.8,5300.212,1029.91,2386.927,5554.453,8019.087,8870.313,9539.439,9539.439,9539.439,0
115,3.4,4664.762,1301.026,3490.096,5144.114,5637.005,6524.937,8656.906,8656.906,8656.906,0
120,4,5053.749,1003.225,3840.549,4828.415,6706.303,8513.67,8902.584,8902.584,8902.584,0
125,3.6,5851.979,1004.794,1718.349,5776.967,8991.904,10253.289,11170.191,11170.191,11170.191,0
130,4.4,3926.882,1323.811,3725.85,4169.185,4754.829,5254.808,5681.231,6174.953,6174.953,0
135,4.4,4556.144,1244.091,3966.677,4710.975,5312.655,7292.42,7751.31,7984.279,7984.279,0
140,3.2,5650.772,1036.212,5064.869,5685.619,6152.885,9995.465,10229.978,10229.978,10229.978,0
145,3.6,5166.759,1004.474,3214.562,5110.479,7307.494,8209.128,8802.706,8802.706,8802.706,0
150,4.4,4682.923,1005.034,2863.875,4752.586,6982.799,7894.656,8053.947,8184.518,8184.518,0
155,4.8,4743.51,1004.097,3288.774,4816.172,7329.832,8642.032,8875.489,9301.266,9301.266,0
160,4.6,4096.684,1018.394,1801.667,3540.031,6546.402,7782.974,8075.317,9646.327,9646.327,0
165,3.6,6849.889,1003.511,1835.861,7366.214,10557.282,12481.815,18103.606,18103.606,18103.606,0
170,3.6,4288.741,1676.857,3498.164,3974.772,4796.2,8221.077,8413.627,8413.627,8413.627,0
175,4.2,4628.665,1004.236,1686.561,4300.116,6954.696,8172.395,8353.322,13423.737,13423.737,0
180,2.8,6657.567,1004.331,4550.294,5834.588,9506.693,10521.512,12994.834,12994.834,12994.834,0
185,3.2,6075.37,1584.03,4734.338,5563.34,7837.216,10853.381,10996.05,10996.05,10996.05,0
190,4.4,4857.935,1003.38,1726.33,4697.639,7433.529,8227.482,9280.297,10867.227,10867.227,0
195,4.4,4457.308,1003.406,1651.127,5418.679,6246.402,8908.533,8952.643,9401.45,9401.45,0
200,3.8,4401.522,1004.314,1693.318,4102.181,6963.591,7619.241,11048.74,11048.74,11048.74,0
205,3.8,5581.781,1002.59,1735.96,5477.691,9054.696,10058.133,11436.809,11436.809,11436.809,0
210,4.8,5597.751,1003.732,3806.879,6307.55,7827.802,9707.993,10249.859,11980.717,11980.717,0
215,4.2,5534.45,1007.076,1744.067,5312.382,8810.857,9296.043,9321.594,11985.766,11985.766,0
