time(sec), throughput(req/sec), avg_lat(ms), min_lat(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms), 90th_lat(ms), 95th_lat(ms), 99th_lat(ms), max_lat(ms), tp (req/s) scaled
0,1.200,3384.851,1517.681,2018.520,4301.596,4360.322,4793.538,4793.538,4793.538,4793.538,0.000
5,0.400,5713.945,5268.443,5268.443,6159.447,6159.447,6159.447,6159.447,6159.447,6159.447,0.000
10,0.400,33085.945,29990.484,29990.484,36181.406,36181.406,36181.406,36181.406,36181.406,36181.406,0.000
15,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
20,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
25,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
30,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
35,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
40,0.200,10340.301,10340.301,10340.301,10340.301,10340.301,10340.301,10340.301,10340.301,10340.301,0.000
45,0.200,19050.536,19050.536,19050.536,19050.536,19050.536,19050.536,19050.536,19050.536,19050.536,0.000
50,0.200,8292.288,8292.288,8292.288,8292.288,8292.288,8292.288,8292.288,8292.288,8292.288,0.000
55,0.200,10675.386,10675.386,10675.386,10675.386,10675.386,10675.386,10675.386,10675.386,10675.386,0.000
60,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
65,2.000,2305.355,1041.542,1050.032,1400.472,2554.071,9048.466,9048.466,9048.466,9048.466,0.000
70,2.000,1516.129,1058.126,1092.081,1325.350,1585.426,3386.128,3386.128,3386.128,3386.128,0.001
75,3.000,1667.837,1042.053,1116.366,1213.306,1560.628,2902.132,5666.576,5666.576,5666.576,0.001
80,4.800,1399.537,1033.389,1141.049,1251.454,1467.869,1706.676,2420.177,3140.966,3140.966,0.001
85,10.000,1204.693,1016.299,1050.059,1109.611,1225.587,1334.027,2067.055,2649.730,2649.730,0.001
90,17.000,1114.150,1002.708,1058.723,1086.895,1143.230,1226.149,1284.204,1334.514,1334.514,0.001
95,17.600,1113.952,1001.953,1050.257,1088.178,1151.126,1225.634,1242.712,1813.162,1813.162,0.001
100,19.400,1103.048,1000.787,1049.701,1082.861,1125.439,1184.303,1234.440,1877.088,1877.088,0.001
105,11.800,1170.274,1015.520,1051.016,1100.340,1183.858,1259.810,1702.900,2969.342,2969.342,0.001
110,9.200,1216.683,1002.758,1074.831,1157.718,1241.434,1464.355,1477.457,2296.181,2296.181,0.001
115,19.000,1104.295,1016.048,1058.449,1090.730,1143.245,1185.258,1201.151,1334.668,1334.668,0.001
120,14.600,1138.970,1001.543,1067.891,1116.657,1159.082,1216.954,1517.405,1767.639,1767.639,0.001
125,18.800,1106.972,1001.639,1060.160,1092.403,1134.060,1176.029,1275.842,1481.686,1481.686,0.001
130,17.800,1112.023,1001.372,1066.568,1108.368,1141.866,1201.552,1249.529,1300.292,1300.292,0.001
135,18.200,1108.208,1001.413,1051.241,1084.385,1126.214,1200.921,1292.742,1417.443,1417.443,0.001
140,21.000,1095.263,1001.418,1049.463,1082.815,1133.689,1200.818,1218.084,1268.421,1310.014,0.001
145,18.400,1110.067,1001.419,1057.885,1091.266,1142.375,1193.355,1267.255,1431.953,1431.953,0.001
150,19.400,1101.292,1001.450,1059.366,1093.828,1126.268,1193.183,1217.113,1271.997,1271.997,0.001
155,20.600,1098.118,1002.038,1058.322,1091.440,1117.369,1142.397,1192.336,1509.345,1575.329,0.001
160,16.200,1124.115,1000.790,1042.000,1074.546,1124.870,1159.012,1209.213,2650.169,2650.169,0.001
165,20.400,1097.117,1001.219,1044.694,1076.414,1117.555,1167.069,1200.715,1574.959,1691.644,0.001
170,21.800,1091.080,1001.753,1041.611,1074.638,1100.722,1167.359,1284.152,1558.846,1609.573,0.001
175,26.000,1076.947,999.925,1033.616,1058.346,1092.400,1139.495,1191.670,1751.278,1783.613,0.001
180,37.000,1053.865,1001.873,1025.167,1042.249,1074.595,1100.927,1133.023,1234.923,1243.514,0.001
185,37.200,1053.811,1001.556,1032.683,1042.291,1066.806,1092.598,1116.786,1349.927,1434.338,0.001
190,36.600,1054.584,1001.276,1027.915,1041.672,1066.615,1100.154,1126.568,1440.516,1484.067,0.001
195,24.000,1086.659,1002.075,1038.958,1058.049,1100.847,1191.458,1258.759,1575.299,1607.765,0.001
200,18.200,1104.798,1001.638,1025.183,1050.280,1083.327,1233.598,1463.822,2300.348,2300.348,0.001
205,35.600,1056.419,999.999,1025.381,1041.904,1074.962,1101.195,1141.539,1400.829,1426.863,0.001
210,24.000,1083.032,1000.339,1024.983,1042.587,1076.172,1183.041,1366.632,1649.986,1658.707,0.001
215,27.200,1073.255,1001.723,1027.142,1043.700,1075.638,1182.999,1258.237,1465.773,1566.863,0.001
220,40.000,1050.050,1000.532,1024.726,1039.682,1058.752,1091.501,1142.444,1283.758,1332.839,0.001
225,37.400,1053.338,1001.358,1024.562,1041.410,1066.477,1108.976,1157.366,1241.955,1509.597,0.001
230,32.000,1062.119,1000.844,1025.154,1042.020,1074.693,1150.256,1208.588,1292.607,1317.768,0.001
235,32.000,1063.123,1001.119,1024.722,1041.417,1058.204,1166.047,1291.155,1391.913,1441.947,0.001
240,33.000,1063.833,1000.485,1024.771,1041.629,1058.735,1183.383,1233.234,1399.640,1400.366,0.001
245,15.800,1118.497,1002.517,1024.165,1049.693,1216.276,1316.322,1378.179,1631.670,1631.670,0.001
250,38.400,1055.167,1000.331,1024.665,1041.329,1057.886,1084.565,1150.194,1619.340,1633.643,0.001
255,33.400,1056.327,1002.148,1025.323,1041.362,1050.477,1075.421,1150.636,1742.727,1775.231,0.001
260,30.000,1066.466,1001.792,1033.332,1042.044,1058.149,1108.462,1225.137,1507.957,1524.572,0.001
265,41.800,1047.811,1001.008,1032.153,1041.409,1050.019,1073.880,1091.839,1243.032,1448.769,0.001
270,49.400,1040.345,1000.651,1022.978,1034.172,1049.181,1059.247,1108.345,1158.319,1213.131,0.001
275,35.200,1056.643,999.728,1025.055,1041.574,1050.473,1099.560,1149.132,1614.816,1625.365,0.001
280,37.000,1053.923,1001.401,1024.843,1041.063,1050.296,1075.941,1166.719,1508.770,1676.152,0.001
285,40.800,1049.871,1001.412,1016.790,1033.724,1049.059,1092.406,1133.673,1509.109,1707.758,0.001
290,45.200,1043.258,1000.155,1017.402,1033.642,1049.774,1075.412,1093.304,1299.373,1399.322,0.001
